1.1.1.1	alcohol dehydrogenase
2.4.1.153	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminyltransferase
2.4.1.155	alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase
2.4.1.156	indolylacetyl-myo-inositol galactosyltransferase
2.4.1.158	13-hydroxydocosanoate 13-beta-glucosyltransferase
2.4.1.159	flavonol-3-O-glucoside L-rhamnosyltransferase
2.4.1.160	pyridoxine 5'-O-beta-D-glucosyltransferase
2.4.1.161	oligosaccharide 4-alpha-D-glucosyltransferase
2.4.1.162	aldose beta-D-fructosyltransferase
2.4.1.165	N-acetylneuraminylgalactosylglucosyl-glucoside beta-1,4-N-acetylgalactosaminyltransferase
2.4.1.166	raffinose--raffinose alpha-galactosyltransferase
2.4.1.167	sucrose 6(F)-alpha-galactosyltransferase
2.4.1.168	xyloglucan 4-glucosyltransferase
2.4.1.170	isoflavone 7-O-glucosyltransferase
2.4.1.171	methyl-ONN-azoxymethanol beta-D-glucosyltransferase
2.4.1.172	salicyl-alcohol beta-D-glucosyltransferase
2.4.1.173	sterol 3beta-glucosyltransferase
2.4.1.174	glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase
2.4.1.175	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase
2.4.1.176	gibberellin beta-D-glucosyltransferase
2.4.1.177	cinnamate beta-D-glucosyltransferase
2.4.1.178	hydroxymandelonitrile glucosyltransferase
2.4.1.179	lactosylceramide beta-1,3-galactosyltransferase
2.4.1.180	lipopolysaccharide N-acetylmannosaminouronosyltransferase
2.4.1.181	hydroxyanthraquinone glucosyltransferase
2.4.1.182	lipid-A-disaccharide synthase
2.4.1.183	alpha-1,3-glucan synthase
2.4.1.184	galactolipid galactosyltransferase
2.4.1.185	flavanone 7-O-beta-glucosyltransferase
2.4.1.186	glycogenin glucosyltransferase
2.4.1.187	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
2.4.1.188	N-acetylglucosaminyldiphosphoundecaprenol glucosyltransferase
2.4.1.189	luteolin 7-O-glucuronosyltransferase
2.4.1.190	luteolin-7-O-glucuronide 2''-O-glucuronosyltransferase
2.4.1.191	luteolin-7-O-diglucuronide 4'-O-glucuronosyltransferase
2.4.1.192	nuatigenin 3beta-glucosyltransferase
2.4.1.193	sarsapogenin 3beta-glucosyltransferase
2.4.1.194	4-hydroxybenzoate 4-O-beta-D-glucosyltransferase
2.4.1.195	N-hydroxythioamide S-beta-glucosyltransferase
2.4.1.196	nicotinate glucosyltransferase
2.4.1.197	high-mannose-oligosaccharide beta-1,4-N-acetylglucosaminyltransferase
2.4.1.198	phosphatidylinositol N-acetylglucosaminyltransferase
2.4.1.199	beta-mannosylphosphodecaprenol--mannooligosaccharide 6-mannosyltransferase
2.4.1.201	alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.202	2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase
2.4.1.203	trans-zeatin O-beta-D-glucosyltransferase
2.4.1.205	galactogen 6beta-galactosyltransferase
2.4.1.206	lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
2.4.1.207	xyloglucan:xyloglucosyl transferase
2.4.1.208	diglucosyl diacylglycerol synthase (1,2-linking)
2.4.1.209	cis-p-coumarate glucosyltransferase
2.4.1.210	limonoid glucosyltransferase
2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
2.4.1.212	hyaluronan synthase
2.4.1.213	glucosylglycerol-phosphate synthase
2.4.1.214	glycoprotein 3-alpha-L-fucosyltransferase
2.4.1.215	cis-zeatin O-beta-D-glucosyltransferase
2.4.1.216	trehalose 6-phosphate phosphorylase
2.4.1.217	mannosyl-3-phosphoglycerate synthase
2.4.1.218	hydroquinone glucosyltransferase
2.4.1.219	vomilenine glucosyltransferase
2.4.1.220	indoxyl-UDPG glucosyltransferase
2.4.1.221	peptide-O-fucosyltransferase
2.4.1.222	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
2.4.1.223	glucuronosyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase
2.4.1.224	glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase
2.4.1.225	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase
2.4.1.226	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase
2.4.1.227	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
2.4.1.228	lactosylceramide 4-alpha-galactosyltransferase
2.4.1.229	[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase
2.4.1.230	kojibiose phosphorylase
2.4.1.231	alpha,alpha-trehalose phosphorylase (configuration-retaining)
2.4.1.232	initiation-specific alpha-1,6-mannosyltransferase
2.4.1.234	kaempferol 3-O-galactosyltransferase
2.4.1.236	flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase
2.4.1.237	flavonol 7-O-beta-glucosyltransferase
2.4.1.238	delphinidin 3,5-di-O-glucoside 3'-O-glucosyltransferase
2.4.1.239	flavonol-3-O-glucoside glucosyltransferase
2.4.1.240	flavonol-3-O-glycoside glucosyltransferase
2.4.1.241	digalactosyldiacylglycerol synthase
2.4.1.242	NDP-glucose--starch glucosyltransferase
2.4.1.243	6(G)-fructosyltransferase
2.4.1.244	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase
2.4.1.245	alpha,alpha-trehalose synthase
2.4.1.246	mannosylfructose-phosphate synthase
2.4.1.247	beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase
2.4.1.248	cycloisomaltooligosaccharide glucanotransferase
2.4.1.249	delphinidin 3',5'-O-glucosyltransferase
2.4.1.250	D-inositol-3-phosphate glycosyltransferase
2.4.1.251	GlcA-beta-(1->2)-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase
2.4.1.252	GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
2.4.1.253	baicalein 7-O-glucuronosyltransferase
2.4.1.254	cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase
2.4.1.255	protein O-GlcNAc transferase
2.4.1.256	dolichyl-P-Glc:Glc2Man9GlcNAc2-PP-dolichol alpha-1,2-glucosyltransferase
2.4.1.257	GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase
2.4.1.258	dolichyl-P-Man:Man5GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase
2.4.1.259	dolichyl-P-Man:Man6GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase
2.4.1.260	dolichyl-P-Man:Man7GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase
2.4.1.261	dolichyl-P-Man:Man8GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase
2.4.1.262	soyasapogenol glucuronosyltransferase
2.4.1.263	abscisate beta-glucosyltransferase
2.4.1.264	D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphosphoundecaprenol 2-beta-glucuronosyltransferase
2.4.1.265	dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase
2.4.1.266	glucosyl-3-phosphoglycerate synthase
2.4.1.267	dolichyl-P-Glc:Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase
2.4.1.268	glucosylglycerate synthase
2.4.1.269	mannosylglycerate synthase
2.4.1.270	mannosylglucosyl-3-phosphoglycerate synthase
2.4.1.271	crocetin glucosyltransferase
2.4.1.272	soyasapogenol B glucuronide galactosyltransferase
2.4.1.273	soyasaponin III rhamnosyltransferase
2.4.1.274	glucosylceramide beta-1,4-galactosyltransferase
2.4.1.275	neolactotriaosylceramide beta-1,4-galactosyltransferase
2.4.1.276	zeaxanthin glucosyltransferase
2.4.1.277	10-deoxymethynolide desosaminyltransferase
2.4.1.278	3-alpha-mycarosylerythronolide B desosaminyl transferase
2.4.1.279	nigerose phosphorylase
2.4.1.280	N,N'-diacetylchitobiose phosphorylase
2.4.1.281	4-O-beta-D-mannosyl-D-glucose phosphorylase
2.4.1.282	3-O-alpha-D-glucosyl-L-rhamnose phosphorylase
2.4.1.283	2-deoxystreptamine N-acetyl-D-glucosaminyltransferase
2.4.1.284	2-deoxystreptamine glucosyltransferase
2.4.1.285	UDP-GlcNAc:ribostamycin N-acetylglucosaminyltransferase
2.4.1.286	chalcone 4'-O-glucosyltransferase
2.4.1.287	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,4/1,5-galactofuranosyltransferase
2.4.1.288	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase
2.4.1.289	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
2.4.1.290	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
2.4.1.291	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
2.4.1.292	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
2.4.1.293	GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
2.4.1.294	cyanidin 3-O-galactosyltransferase
2.4.1.295	anthocyanin 3-O-sambubioside 5-O-glucosyltransferase
2.4.1.296	anthocyanidin 3-O-coumaroylrutinoside 5-O-glucosyltransferase
2.4.1.297	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase
2.4.1.298	anthocyanidin 3-O-glucoside 5-O-glucosyltransferase
2.4.1.299	cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose)
2.4.1.300	cyanidin 3-O-glucoside 7-O-glucosyltransferase (acyl-glucose)
2.4.1.301	2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase
2.4.1.302	L-demethylnoviosyl transferase
2.4.1.303	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
2.4.1.304	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,4-galactosyltransferase
2.4.1.305	UDP-Glc:alpha-D-GlcNAc-glucosaminyl-diphosphoundecaprenol beta-1,3-glucosyltransferase
2.4.1.306	UDP-GalNAc:alpha-D-GalNAc-diphosphoundecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
2.4.1.308	GDP-Fuc:beta-D-Gal-1,3-alpha-D-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,2-fucosyltransferase
2.4.1.309	UDP-Gal:alpha-L-Fuc-1,2-beta-Gal-1,3-alpha-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase
2.4.1.310	vancomycin aglycone glucosyltransferase
2.4.1.311	dTDP-epi-vancosaminyltransferase
2.4.1.312	protein O-mannose beta-1,4-N-acetylglucosaminyltransferase
2.4.1.313	protein O-mannose beta-1,3-N-acetylgalactosaminyltransferase
2.4.1.314	ginsenoside Rd glucosyltransferase
2.4.1.315	diglucosyl diacylglycerol synthase (1,6-linking)
2.4.1.316	tylactone mycaminosyltransferase
2.4.1.317	O-mycaminosyltylonolide 6-deoxyallosyltransferase
2.4.1.318	demethyllactenocin mycarosyltransferase
2.4.1.319	beta-1,4-mannooligosaccharide phosphorylase
2.4.1.320	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase
2.4.1.321	cellobionic acid phosphorylase
2.4.1.322	devancosaminyl-vancomycin vancosaminetransferase
2.4.1.323	7-deoxyloganetic acid glucosyltransferase
2.4.1.324	7-deoxyloganetin glucosyltransferase
2.4.1.325	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
2.4.1.326	aklavinone 7-L-rhodosaminyltransferase
2.4.1.327	aclacinomycin-T 2-deoxy-L-fucose transferase
2.4.1.328	erythronolide mycarosyltransferase
2.4.1.329	sucrose 6(F)-phosphate phosphorylase
2.4.1.330	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase
2.4.1.331	8-demethyltetracenomycin C L-rhamnosyltransferase
2.4.1.332	1,2-alpha-glucosylglycerol phosphorylase
2.4.1.333	1,2-beta-oligoglucan phosphorylase
2.4.1.334	1,3-alpha-oligoglucan phosphorylase
2.4.1.335	dolichyl N-acetyl-alpha-D-glucosaminyl phosphate 3-beta-D-2,3-diacetamido-2,3-dideoxy-beta-D-glucuronosyltransferase
2.4.1.336	monoglucosyldiacylglycerol synthase
2.4.1.337	1,2-diacylglycerol 3-alpha-glucosyltransferase
2.4.1.338	validoxylamine A glucosyltransferase
2.4.1.339	beta-1,2-mannobiose phosphorylase
2.4.1.340	1,2-beta-oligomannan phosphorylase
2.4.1.341	alpha-1,2-colitosyltransferase
2.4.1.342	alpha-maltose-1-phosphate synthase
2.4.1.343	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase
2.4.1.344	type 2 galactoside alpha-(1,2)-fucosyltransferase
2.4.1.345	phosphatidyl-myo-inositol alpha-mannosyltransferase
2.4.1.346	phosphatidyl-myo-inositol dimannoside synthase
2.4.1.347	alpha,alpha-trehalose-phosphate synthase (ADP-forming)
2.4.1.348	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase
2.4.1.349	mannosyl-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase
2.4.1.350	mogroside IE synthase
2.4.1.351	rhamnogalacturonan I rhamnosyltransferase
2.4.1.352	glucosylglycerate phosphorylase
2.4.1.353	sordaricin 6-deoxyaltrosyltransferase
2.4.1.354	(R)-mandelonitrile beta-glucosyltransferase
2.4.1.355	poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase
2.4.1.356	glucosyl-dolichyl phosphate glucuronosyltransferase
2.4.1.357	phlorizin synthase
2.4.1.358	acylphloroglucinol glucosyltransferase
2.4.1.359	glucosylglycerol phosphorylase (configuration-retaining)
2.4.1.360	2-hydroxyflavanone C-glucosyltransferase
2.4.1.361	GDP-mannose:di-myo-inositol-1,3'-phosphate beta-1,2-mannosyltransferase
2.4.1.362	alpha-(1->3) branching sucrase
2.4.1.363	ginsenoside 20-O-glucosyltransferase
2.4.1.364	protopanaxadiol-type ginsenoside 3-O-glucosyltransferase
2.4.1.365	protopanaxadiol-type ginsenoside-3-O-glucoside 2''-O-glucosyltransferase
2.4.1.366	ginsenoside F1 6-O-glucosyltransferase
2.4.1.367	ginsenoside 6-O-glucosyltransferase
2.4.1.368	oleanolate 3-O-glucosyltransferase
2.4.1.369	enterobactin C-glucosyltransferase
2.4.1.370	inositol phosphorylceramide mannosyltransferase
2.4.1.371	polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 2,3-alpha-mannosylpolymerase
2.4.1.372	mutansucrase
2.4.1.373	alpha-(1->2) branching sucrase
2.4.1.374	beta-1,2-mannooligosaccharide synthase
2.4.1.375	rhamnogalacturonan I galactosyltransferase
2.4.1.376	EGF-domain serine glucosyltransferase
2.4.1.377	dTDP-Rha:alpha-D-Gal-diphosphoundecaprenol alpha-1,3-rhamnosyltransferase
2.4.1.378	GDP-mannose:alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und alpha-1,4-mannosyltransferase
2.4.1.379	GDP-Man:alpha-D-Gal-diphosphoundecaprenol alpha-1,3-mannosyltransferase
2.4.1.380	GDP-Man:alpha-D-Man-(1->3)-alpha-D-Gal diphosphoundecaprenol alpha-1,2-mannosyltransferase
2.4.1.381	dTDP-Rha:alpha-D-Man-(1->3)-alpha-D-Gal diphosphoundecaprenol alpha-1,2-rahmnosyltransferase
2.4.1.382	CDP-abequose:alpha-L-Rha2OAc-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Gal-PP-Und alpha-1,3-abequosyltransferase
2.4.1.383	GDP-Man:alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und beta-1,4-mannosyltransferase
2.4.1.384	NDP-glycosyltransferase
2.4.1.385	sterol 27-beta-glucosyltransferase
2.4.1.386	GlcNAc-beta-1,3-Gal beta-1,6-N-acetylglucosaminyltransferase (distally acting)
2.4.1.387	isomaltosyltransferase
2.4.1.388	glucosylgalactose phosphorylase
2.4.1.389	solabiose phosphorylase
2.4.1.390	4,3-alpha-glucanotransferase
2.4.1.391	beta-1,2-glucosyltransferase
2.4.1.392	3-O-beta-D-glucopyranosyl-beta-D-glucuronide phosphorylase
2.4.1.393	MMP alpha-(1->4)-mannosyltransferase
2.4.1.394	4,6-alpha-glucanotransferase (linear substrates/linear products)
2.4.1.395	reuteransucrase
2.4.1.396	4,6-alpha-glucanotransferase (linear and branched substrates, branched products)
2.4.1.397	cyclic beta-1,2-glucan glucanotransferase
2.4.1.398	beta-galactofuranoside beta-1,5-galactofuranosyltransferase
2.4.1.n2	loliose synthase
2.4.2.1	purine-nucleoside phosphorylase
2.4.2.2	pyrimidine-nucleoside phosphorylase
2.4.2.3	uridine phosphorylase
2.4.2.4	thymidine phosphorylase
2.4.2.5	nucleoside ribosyltransferase
2.4.2.6	nucleoside deoxyribosyltransferase
2.4.2.7	adenine phosphoribosyltransferase
2.4.2.8	hypoxanthine phosphoribosyltransferase
2.4.2.9	uracil phosphoribosyltransferase
2.4.2.10	orotate phosphoribosyltransferase
2.4.2.12	nicotinamide phosphoribosyltransferase
2.4.2.14	amidophosphoribosyltransferase
2.4.2.15	guanosine phosphorylase
2.4.2.16	urate-ribonucleoside phosphorylase
2.4.2.17	ATP phosphoribosyltransferase
2.4.2.18	anthranilate phosphoribosyltransferase
2.4.2.19	nicotinate-nucleotide diphosphorylase (carboxylating)
2.4.2.20	dioxotetrahydropyrimidine phosphoribosyltransferase
2.4.2.21	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
2.4.2.22	xanthine phosphoribosyltransferase
2.4.2.24	1,4-beta-D-xylan synthase
2.4.2.25	flavone apiosyltransferase
2.4.2.26	protein xylosyltransferase
2.4.2.27	dTDP-dihydrostreptose--streptidine-6-phosphate dihydrostreptosyltransferase
2.4.2.28	S-methyl-5'-thioadenosine phosphorylase
2.4.2.29	tRNA-guanosine(34) preQ1 transglycosylase
2.4.2.30	NAD(+) ADP-ribosyltransferase
2.4.2.31	NAD(+)--protein-arginine ADP-ribosyltransferase
2.4.2.32	dolichyl-phosphate D-xylosyltransferase
2.4.2.33	dolichyl-xylosyl-phosphate--protein xylosyltransferase
2.4.2.34	indolylacetylinositol arabinosyltransferase
2.4.2.35	flavonol-3-O-glycoside xylosyltransferase
2.4.2.36	NAD(+)--diphthamide ADP-ribosyltransferase
2.4.2.37	NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase
2.4.2.38	glycoprotein 2-beta-D-xylosyltransferase
2.4.2.39	xyloglucan 6-xylosyltransferase
2.4.2.40	zeatin O-beta-D-xylosyltransferase
2.4.2.41	xylogalacturonan beta-1,3-xylosyltransferase
2.4.2.42	UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase
2.4.2.43	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase
2.4.2.44	S-methyl-5'-thioinosine phosphorylase
2.4.2.45	decaprenyl-phosphate phosphoribosyltransferase
2.4.2.46	galactan 5-O-arabinofuranosyltransferase
2.4.2.47	arabinofuranan 3-O-arabinosyltransferase
2.4.2.48	tRNA-guanine(15) transglycosylase
2.4.2.49	neamine phosphoribosyltransferase
2.4.2.50	cyanidin 3-O-galactoside 2''-O-xylosyltransferase
2.4.2.51	anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase
2.4.2.52	triphosphoribosyl-dephospho-CoA synthase
2.4.2.53	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
2.4.2.54	beta-ribofuranosylphenol 5'-phosphate synthase
2.4.2.55	nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase
2.4.2.56	kaempferol 3-O-xylosyltransferase
2.4.2.57	AMP phosphorylase
2.4.2.58	hydroxyproline O-arabinosyltransferase
2.4.2.59	sulfide-dependent adenosine diphosphate thiazole synthase
2.4.2.60	cysteine-dependent adenosine diphosphate thiazole synthase
2.4.2.61	alpha-dystroglycan beta1,4-xylosyltransferase
2.4.2.62	xylosyl alpha-1,3-xylosyltransferase
2.4.2.63	EGF-domain serine xylosyltransferase
2.4.2.64	tRNA-guanosine(34) queuine transglycosylase
2.4.3.1	beta-galactoside alpha-(2,6)-sialyltransferase
2.4.3.2	beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminide alpha-2,3-sialyltransferase
2.4.3.3	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase
2.4.3.4	beta-galactoside alpha-2,3-sialyltransferase
2.4.3.5	galactosyldiacylglycerol alpha-2,3-sialyltransferase
2.4.3.6	N-acetyllactosaminide alpha-2,3-sialyltransferase
2.4.3.7	alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3-N-acetylgalactosaminide 6-alpha-sialyltransferase
2.4.3.8	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase
2.4.3.9	lactosylceramide alpha-2,3-sialyltransferase
2.4.3.10	N-acetylglucosaminide alpha-(2,6)-sialyltransferase
2.4.99.12	lipid IVA 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.13	(Kdo)-lipid IVA 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.14	(Kdo)2-lipid IVA (2-8) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.15	(Kdo)3-lipid IVA (2-4) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.16	starch synthase (maltosyl-transferring)
2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
2.4.99.18	dolichyl-diphosphooligosaccharide--protein glycotransferase
2.4.99.19	undecaprenyl-diphosphooligosaccharide--protein glycotransferase
2.4.99.20	2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase
2.4.99.21	dolichyl-phosphooligosaccharide-protein glycotransferase
2.4.99.23	lipopolysaccharide heptosyltransferase I
2.4.99.24	lipopolysaccharide heptosyltransferase II
2.4.99.25	lipopolysaccharide heptosyltransferase III
2.4.99.26	O-antigen ligase
2.4.99.27	O-antigen polymerase Wzy
2.4.99.28	peptidoglycan glycosyltransferase
2.5.1.1	dimethylallyltranstransferase
2.5.1.2	thiamine pyridinylase
2.5.1.3	thiamine phosphate synthase
2.5.1.5	galactose-6-sulfurylase
2.5.1.6	methionine adenosyltransferase
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2.5.1.9	riboflavin synthase
2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
2.5.1.15	dihydropteroate synthase
2.5.1.16	spermidine synthase
2.5.1.17	corrinoid adenosyltransferase
2.5.1.18	glutathione transferase
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase
2.5.1.20	rubber cis-polyprenylcistransferase
2.5.1.21	squalene synthase
2.5.1.22	spermine synthase
2.5.1.23	sym-norspermidine synthase
2.5.1.24	discadenine synthase
2.5.1.25	tRNA-uridine aminocarboxypropyltransferase
2.5.1.26	alkylglycerone-phosphate synthase
2.5.1.27	adenylate dimethylallyltransferase (AMP-dependent)
2.5.1.28	dimethylallylcistransferase
2.5.1.29	geranylgeranyl diphosphate synthase
2.5.1.30	heptaprenyl diphosphate synthase
2.5.1.31	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
2.5.1.32	15-cis-phytoene synthase
2.5.1.34	4-dimethylallyltryptophan synthase
2.5.1.35	aspulvinone dimethylallyltransferase
2.5.1.36	trihydroxypterocarpan dimethylallyltransferase
2.5.1.38	isonocardicin synthase
2.5.1.39	4-hydroxybenzoate polyprenyltransferase
2.5.1.41	phosphoglycerol geranylgeranyltransferase
2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase
2.5.1.43	nicotianamine synthase
2.5.1.44	homospermidine synthase
2.5.1.45	homospermidine synthase (spermidine-specific)
2.5.1.46	deoxyhypusine synthase
2.5.1.47	cysteine synthase
2.5.1.48	cystathionine gamma-synthase
2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase
2.5.1.50	zeatin 9-aminocarboxyethyltransferase
2.5.1.51	beta-pyrazolylalanine synthase
2.5.1.52	L-mimosine synthase
2.5.1.53	uracilylalanine synthase
2.5.1.54	3-deoxy-7-phosphoheptulonate synthase
2.5.1.55	3-deoxy-8-phosphooctulonate synthase
2.5.1.56	N-acetylneuraminate synthase
2.5.1.57	N-acylneuraminate-9-phosphate synthase
2.5.1.58	protein farnesyltransferase
2.5.1.59	protein geranylgeranyltransferase type I
2.5.1.60	protein geranylgeranyltransferase type II
2.5.1.61	hydroxymethylbilane synthase
2.5.1.62	chlorophyll synthase
2.5.1.63	adenosyl-fluoride synthase
2.5.1.65	O-phosphoserine sulfhydrylase
2.5.1.66	N(2)-(2-carboxyethyl)arginine synthase
2.5.1.67	chrysanthemyl diphosphate synthase
2.5.1.68	(2Z,6E)-farnesyl diphosphate synthase
2.5.1.69	lavandulyl diphosphate synthase
2.5.1.70	naringenin 8-dimethylallyltransferase
2.5.1.71	leachianone-G 2''-dimethylallyltransferase
2.5.1.72	quinolinate synthase
2.5.1.73	O-phospho-L-seryl-tRNA:Cys-tRNA synthase
2.5.1.74	1,4-dihydroxy-2-naphthoate polyprenyltransferase
2.5.1.75	tRNA dimethylallyltransferase
2.5.1.76	cysteate synthase
2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase
2.5.1.79	thermospermine synthase
2.5.1.80	7-dimethylallyltryptophan synthase
2.5.1.81	geranylfarnesyl diphosphate synthase
2.5.1.82	hexaprenyl diphosphate synthase [geranylgeranyl-diphosphate specific]
2.5.1.83	hexaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
2.5.1.84	all-trans-nonaprenyl-diphosphate synthase [geranyl-diphosphate specific]
2.5.1.85	all-trans-nonaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]
2.5.1.86	trans,polycis-decaprenyl diphosphate synthase
2.5.1.87	ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific]
2.5.1.88	trans,polycis-polyprenyl diphosphate synthase [(2Z,6E)-farnesyl diphosphate specific]
2.5.1.89	tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]
2.5.1.90	all-trans-octaprenyl-diphosphate synthase
2.5.1.91	all-trans-decaprenyl-diphosphate synthase
2.5.1.92	(2Z,6Z)-farnesyl diphosphate synthase
2.5.1.93	4-hydroxybenzoate geranyltransferase
2.5.1.94	adenosyl-chloride synthase
2.5.1.95	xanthan pyruvate transferase
2.5.1.96	4,4'-diapophytoene synthase
2.5.1.97	pseudaminic acid synthase
2.5.1.98	Rhizobium leguminosarum exopolysaccharide glucosyl ketal-pyruvate-transferase
2.5.1.100	fumigaclavine A dimethylallyltransferase
2.5.1.101	N,N'-diacetyllegionaminate synthase
2.5.1.102	geranylpyrophosphate--olivetolic acid geranyltransferase
2.5.1.103	presqualene diphosphate synthase
2.5.1.104	N(1)-aminopropylagmatine synthase
2.5.1.105	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase
